,quality
682,7
683,4
684,6
685,6
686,5
687,5
688,6
689,6
690,5
691,5
692,6
693,6
694,5
695,6
696,7
697,6
698,5
699,7
700,7
701,5
702,5
703,6
704,8
705,7
706,5
707,7
708,5
709,5
710,5
711,6
712,6
713,7
714,6
715,5
716,6
717,6
718,5
719,7
720,6
721,3
722,6
723,6
724,5
725,5
726,6
727,6
728,6
729,6
730,6
731,6
732,6
733,6
734,5
735,7
736,5
737,6
738,7
739,7
740,6
741,6
742,5
743,6
744,6
745,6
746,5
747,6
748,7
749,7
750,7
751,7
752,7
753,5
754,9
755,6
756,6
757,5
758,7
759,8
760,4
761,6
762,7
763,8
764,5
765,6
766,6
767,6
768,7
769,6
770,6
771,7
772,5
773,7
774,5
775,5
776,6
777,6
778,6
779,8
780,6
781,5
782,5
783,7
784,6
785,6
786,5
787,6
788,6
789,6
790,5
791,6
792,6
793,6
794,5
795,5
796,5
797,5
798,5
799,9
800,6
801,5
802,6
803,5
804,6
805,6
806,9
807,7
808,7
809,6
810,4
811,8
812,6
813,6
814,8
815,8
816,8
817,8
818,7
819,7
820,7
821,7
822,7
823,8
824,8
825,5
826,5
827,7
828,6
829,7
830,5
831,7
832,5
833,7
834,7
835,5
836,5
837,7
838,5
839,8
840,7
841,6
842,6
843,5
844,6
845,7
846,8
847,7
848,6
849,5
850,5
851,6
852,3
853,5
854,7
855,9
856,6
857,6
858,8
859,7
860,6
861,6
862,6
863,6
864,7
865,6
866,7
867,6
868,7
869,6
870,7
871,5
872,7
873,7
874,6
875,6
876,6
877,6
878,6
879,7
880,6
881,5
882,6
883,8
884,4
885,4
886,8
887,4
888,5
889,5
890,5
891,5
892,4
893,5
894,7
895,6
896,6
897,7
898,7
899,6
900,6
901,6
902,8
903,5
904,5
905,7
906,5
907,5
908,7
909,5
910,6
911,5
912,5
913,5
914,5
915,5
916,6
917,7
918,5
919,6
920,7
921,7
922,7
923,7
924,5
925,5
926,4
927,5
928,5
929,6
930,6
931,5
932,6
933,5
934,5
935,7
936,7
937,6
938,6
939,7
940,6
941,6
942,6
943,5
944,6
945,6
946,7
947,7
948,7
949,7
950,7
951,6
952,5
953,6
954,5
955,7
956,5
957,6
958,7
959,6
960,6
961,5
962,6
963,6
964,6
965,5
966,7
967,6
968,4
969,5
970,4
971,6
972,6
973,5
974,6
975,6
976,7
977,7
978,5
979,6
980,7
981,6
982,6
983,6
984,5
985,7
986,6
987,6
988,7
989,6
990,5
991,5
992,5
993,5
994,6
995,6
996,6
997,7
998,7
999,8
1000,6
1001,6
1002,6
1003,6
1004,4
1005,7
1006,4
1007,6
1008,6
1009,6
1010,6
1011,3
1012,6
1013,5
1014,5
1015,7
1016,5
1017,4
1018,5
1019,4
1020,5
1021,7
1022,5
1023,5
1024,5
1025,5
1026,6
1027,5
1028,6
1029,5
1030,4
1031,5
1032,5
1033,6
1034,5
1035,6
1036,4
1037,7
1038,5
1039,5
1040,5
1041,6
1042,5
1043,6
1044,7
1045,7
1046,6
1047,7
1048,5
1049,7
1050,5
1051,6
1052,7
1053,6
1054,5
1055,5
1056,7
1057,6
1058,6
1059,6
1060,7
1061,5
1062,8
1063,8
1064,6
1065,7
1066,6
1067,6
1068,6
1069,7
1070,5
1071,8
1072,6
1073,7
1074,6
1075,7
1076,6
1077,6
1078,5
1079,5
1080,5
1081,7
1082,8
1083,7
1084,7
1085,4
1086,7
1087,6
1088,6
1089,5
1090,4
1091,8
1092,5
1093,5
1094,5
1095,5
1096,6
1097,6
1098,7
1099,5
1100,5
1101,6
1102,7
1103,7
1104,5
1105,7
1106,6
1107,6
1108,5
1109,5
1110,5
1111,6
1112,8
1113,8
1114,5
1115,5
1116,6
1117,5
1118,5
1119,5
1120,5
1121,5
1122,5
1123,5
1124,6
1125,5
1126,5
1127,5
1128,4
1129,6
1130,4
1131,4
1132,6
1133,6
1134,6
1135,6
1136,6
1137,6
1138,7
1139,6
1140,6
1141,5
1142,5
1143,6
1144,5
1145,6
1146,6
1147,5
1148,6
1149,5
1150,6
1151,5
1152,7
1153,6
1154,5
1155,5
1156,5
1157,6
1158,5
1159,6
1160,7
1161,5
1162,5
1163,8
1164,6
1165,5
1166,6
1167,7
1168,6
1169,7
1170,6
1171,6
1172,7
1173,7
1174,6
1175,7
1176,6
1177,7
1178,5
1179,6
1180,6
1181,5
1182,6
1183,5
1184,6
1185,6
1186,6
1187,5
1188,6
1189,6
1190,6
1191,5
1192,8
1193,5
1194,8
1195,8
1196,6
1197,7
1198,6
1199,5
1200,7
1201,6
1202,7
1203,5
1204,6
1205,3
1206,6
1207,7
1208,7
1209,6
1210,6
1211,5
1212,6
1213,5
1214,7
1215,5
1216,6
1217,7
1218,7
1219,7
1220,5
1221,4
1222,7
1223,6
1224,7
1225,5
1226,7
1227,5
1228,6
1229,7
1230,5
1231,6
1232,6
1233,6
1234,6
1235,6
1236,6
1237,6
1238,6
1239,6
1240,5
1241,7
1242,8
1243,7
1244,5
1245,6
1246,7
1247,5
1248,5
1249,5
1250,6
1251,6
1252,7
1253,5
1254,6
1255,6
1256,6
1257,7
1258,5
1259,8
1260,7
1261,6
1262,7
1263,7
1264,7
1265,6
1266,6
1267,6
1268,6
1269,4
1270,4
1271,6
1272,6
1273,7
1274,6
1275,5
1276,6
1277,5
1278,6
1279,6
1280,5
1281,7
1282,8
1283,5
1284,6
1285,6
1286,6
1287,6
1288,5
1289,5
1290,6
1291,6
1292,6
1293,5
1294,6
1295,5
1296,6
1297,6
1298,6
1299,5
1300,6
1301,7
1302,6
1303,6
1304,6
1305,5
1306,5
1307,6
1308,7
1309,8
1310,6
1311,6
1312,8
1313,5
1314,5
1315,6
1316,6
1317,5
1318,6
1319,6
1320,8
1321,8
1322,7
1323,7
1324,8
1325,4
1326,7
1327,7
1328,6
1329,5
1330,5
1331,5
1332,6
1333,6
1334,8
1335,7
1336,6
1337,7
1338,7
1339,4
1340,5
1341,7
1342,6
1343,5
1344,6
1345,5
1346,6
1347,7
1348,6
1349,6
1350,7
1351,7
1352,6
1353,6
1354,7
1355,6
1356,7
1357,7
1358,6
1359,6
1360,6
1361,5
1362,7
1363,6
1364,7
1365,6
1366,6
1367,6
1368,6
1369,6
1370,7
1371,7
1372,7
1373,7
1374,7
1375,6
1376,7
1377,6
1378,8
1379,8
1380,5
1381,4
1382,8
1383,6
1384,7
1385,6
1386,6
1387,6
1388,8
1389,6
1390,6
1391,5
1392,6
1393,3
1394,5
1395,7
1396,4
1397,6
1398,5
1399,4
1400,6
1401,6
1402,6
1403,5
1404,7
1405,5
1406,4
1407,5
1408,7
1409,6
1410,5
1411,5
1412,5
1413,7
1414,5
1415,5
1416,5
1417,5
1418,5
1419,6
1420,6
1421,6
1422,6
1423,6
1424,6
1425,6
1426,6
1427,5
1428,6
1429,7
1430,5
1431,5
1432,6
1433,6
1434,6
1435,6
1436,6
1437,6
1438,6
1439,6
1440,8
1441,5
1442,6
1443,7
1444,5
1445,5
1446,7
1447,6
1448,5
1449,6
1450,4
1451,6
1452,5
1453,6
1454,6
1455,6
1456,6
1457,6
1458,6
1459,4
1460,3
1461,6
1462,6
1463,6
1464,6
1465,5
1466,6
1467,5
1468,5
1469,8
1470,8
1471,7
1472,5
1473,7
1474,6
1475,6
1476,7
1477,5
1478,5
1479,7
1480,8
1481,7
1482,6
1483,6
1484,6
1485,5
1486,5
1487,6
1488,7
1489,6
1490,7
1491,6
1492,6
1493,6
1494,6
1495,5
1496,6
1497,5
1498,5
1499,6
1500,6
1501,5
1502,6
1503,6
1504,6
1505,6
1506,5
1507,7
1508,7
1509,6
1510,6
1511,6
1512,5
1513,6
1514,6
1515,6
1516,6
1517,4
1518,6
1519,6
1520,5
1521,6
1522,6
1523,6
1524,6
1525,6
1526,6
1527,6
1528,7
1529,7
1530,7
1531,7
1532,6
1533,6
1534,4
1535,4
1536,6
1537,5
1538,7
1539,6
1540,5
1541,6
1542,5
1543,5
1544,6
1545,5
1546,5
1547,6
1548,6
1549,5
1550,4
1551,6
1552,6
1553,4
1554,5
1555,4
1556,5
1557,6
1558,7
1559,5
1560,6
1561,5
1562,5
1563,6
1564,5
1565,6
1566,6
1567,6
1568,6
1569,6
1570,6
1571,6
1572,5
1573,6
1574,6
1575,6
1576,6
1577,6
1578,5
1579,7
1580,5
1581,9
1582,6
1583,7
1584,5
1585,7
1586,6
1587,6
1588,7
1589,7
1590,5
1591,6
1592,6
1593,6
1594,6
1595,8
1596,7
1597,5
1598,6
1599,6
1600,7
1601,6
1602,6
1603,5
1604,6
1605,6
1606,5
1607,6
1608,8
1609,7
1610,6
1611,6
1612,5
1613,6
1614,5
1615,5
1616,5
1617,6
1618,7
1619,7
1620,7
1621,7
1622,6
1623,7
1624,5
1625,4
1626,7
1627,6
1628,4
1629,6
1630,5
1631,5
1632,5
1633,6
1634,5
1635,5
1636,6
1637,6
1638,7
1639,6
1640,4
1641,8
1642,5
1643,6
1644,7
1645,6
1646,6
1647,7
1648,5
1649,5
1650,6
1651,5
1652,7
1653,6
1654,6
1655,5
1656,5
1657,6
1658,7
1659,7
1660,7
1661,7
1662,5
1663,7
1664,3
1665,6
1666,4
1667,7
1668,6
1669,5
1670,6
1671,6
1672,6
1673,6
1674,6
1675,6
1676,6
1677,5
1678,4
1679,5
1680,5
1681,6
1682,6
1683,5
1684,4
1685,5
1686,5
1687,5
1688,6
1689,6
1690,5
1691,8
1692,6
1693,6
1694,4
1695,6
1696,7
1697,7
1698,6
1699,8
1700,6
1701,6
1702,6
1703,6
1704,5
1705,6
1706,6
1707,6
1708,5
1709,6
1710,6
1711,6
1712,5
1713,6
1714,5
1715,4
1716,6
1717,6
1718,6
1719,6
1720,5
1721,5
1722,5
1723,6
1724,5
1725,6
1726,6
1727,7
1728,6
1729,7
1730,6
1731,6
1732,5
1733,5
1734,5
1735,5
1736,6
1737,6
1738,7
1739,6
1740,5
1741,5
1742,5
1743,5
1744,5
1745,7
1746,6
1747,6
1748,6
1749,6
1750,6
1751,6
1752,5
1753,6
1754,8
1755,8
1756,5
1757,4
1758,6
1759,6
1760,7
1761,6
1762,7
1763,7
1764,5
1765,7
1766,5
1767,5
1768,6
1769,5
1770,5
1771,6
1772,5
1773,8
1774,6
1775,6
1776,6
1777,5
1778,6
1779,6
1780,6
1781,5
1782,5
1783,6
1784,5
1785,6
1786,6
1787,5
1788,6
1789,6
1790,7
1791,6
1792,7
1793,4
1794,6
1795,6
1796,6
1797,5
1798,7
1799,6
1800,5
1801,5
1802,5
1803,6
1804,6
1805,7
1806,7
1807,7
1808,7
1809,7
1810,6
1811,5
1812,6
1813,7
1814,6
1815,6
1816,5
1817,7
1818,6
1819,6
1820,6
1821,5
1822,5
1823,5
1824,5
1825,6
1826,7
1827,6
1828,7
1829,5
1830,7
1831,6
1832,4
1833,5
1834,5
1835,6
1836,6
1837,6
1838,7
1839,5
1840,6
1841,6
1842,6
1843,6
1844,7
1845,7
1846,6
1847,6
1848,5
1849,5
1850,5
1851,5
1852,6
1853,6
1854,6
1855,6
1856,5
1857,6
1858,5
1859,5
1860,5
1861,6
1862,5
1863,5
1864,5
1865,5
1866,5
1867,5
1868,5
1869,5
1870,5
1871,6
1872,6
1873,6
1874,6
1875,7
1876,6
1877,5
1878,6
1879,5
1880,6
1881,6
1882,5
1883,7
1884,7
1885,5
1886,5
1887,6
1888,6
1889,6
1890,6
1891,7
1892,5
1893,6
1894,6
1895,6
1896,7
1897,5
1898,5
1899,5
1900,4
1901,6
1902,6
1903,5
1904,6
1905,5
1906,6
1907,3
1908,6
1909,5
1910,6
1911,5
1912,6
1913,7
1914,5
1915,5
1916,5
1917,5
1918,5
1919,5
1920,5
1921,6
1922,6
1923,5
1924,7
1925,5
1926,5
1927,4
1928,7
1929,6
1930,5
1931,5
1932,5
1933,6
1934,6
1935,5
1936,5
1937,5
1938,5
1939,6
1940,5
1941,6
1942,6
1943,7
1944,6
1945,7
1946,6
1947,7
1948,5
1949,5
1950,5
1951,6
1952,5
1953,6
1954,6
1955,6
1956,8
1957,8
1958,8
1959,8
1960,8
1961,6
1962,6
1963,5
1964,6
1965,7
1966,4
1967,8
1968,5
1969,6
1970,6
1971,6
1972,6
1973,6
1974,6
1975,6
1976,5
1977,5
1978,6
1979,6
1980,6
1981,6
1982,6
1983,6
1984,5
1985,7
1986,6
1987,5
1988,5
1989,6
1990,5
1991,6
1992,7
1993,5
1994,7
1995,6
1996,6
1997,6
1998,6
1999,6
2000,5
2001,5
2002,5
2003,5
2004,6
2005,6
2006,6
2007,5
2008,6
2009,5
2010,5
2011,5
2012,6
2013,5
2014,5
2015,5
2016,6
2017,5
2018,6
2019,6
2020,6
2021,5
2022,5
2023,5
2024,5
2025,7
2026,3
2027,5
2028,5
2029,5
2030,5
2031,6
2032,5
2033,7
2034,5
2035,5
2036,5
2037,6
2038,5
2039,5
2040,6
2041,5
2042,5
2043,5
2044,6
2045,7
2046,6
2047,6
2048,5
2049,5
2050,6
2051,5
2052,5
2053,6
2054,6
2055,4
2056,5
2057,5
2058,6
2059,5
2060,6
2061,6
2062,5
2063,6
2064,6
2065,6
2066,5
2067,5
2068,5
2069,5
2070,5
2071,5
2072,5
2073,5
2074,6
2075,5
2076,5
2077,6
2078,5
2079,5
2080,5
2081,5
2082,5
2083,6
2084,6
2085,6
2086,5
2087,5
2088,5
2089,5
2090,6
2091,5
2092,4
2093,5
2094,6
2095,4
2096,5
2097,7
2098,5
2099,5
2100,7
2101,5
2102,5
2103,5
2104,6
2105,5
2106,5
2107,6
2108,6
2109,6
2110,6
2111,5
2112,6
2113,5
2114,5
2115,5
2116,5
2117,5
2118,5
2119,7
2120,6
2121,6
2122,6
2123,5
2124,5
2125,6
2126,6
2127,5
2128,6
2129,6
2130,4
2131,5
2132,4
2133,6
2134,6
2135,4
2136,6
2137,7
2138,6
2139,6
2140,5
2141,5
2142,5
2143,7
2144,7
2145,7
2146,7
2147,7
2148,5
2149,5
2150,7
2151,7
2152,5
2153,7
2154,5
2155,6
2156,6
2157,6
2158,5
2159,5
2160,6
2161,7
2162,5
2163,5
2164,6
2165,6
2166,6
2167,5
2168,6
2169,6
2170,6
2171,5
2172,6
2173,6
2174,5
2175,6
2176,5
2177,6
2178,5
2179,5
2180,5
2181,5
2182,6
2183,7
2184,5
2185,6
2186,7
2187,6
2188,6
2189,6
2190,5
2191,6
2192,5
2193,6
2194,6
2195,7
2196,6
2197,6
2198,7
2199,6
2200,7
2201,4
2202,5
2203,5
2204,7
2205,6
2206,7
2207,6
2208,6
2209,5
2210,5
2211,6
2212,5
2213,4
2214,6
2215,6
2216,5
2217,5
2218,5
2219,5
2220,5
2221,7
2222,4
2223,6
2224,6
2225,5
2226,6
2227,7
2228,5
2229,5
2230,6
2231,6
2232,5
2233,6
2234,5
2235,6
2236,5
2237,6
2238,6
2239,5
2240,6
2241,5
2242,5
2243,6
2244,6
2245,6
2246,7
2247,6
2248,6
2249,5
2250,7
2251,4
2252,6
2253,6
2254,6
2255,5
2256,6
2257,6
2258,5
2259,5
2260,5
2261,5
2262,5
2263,5
2264,5
2265,7
2266,7
2267,6
2268,6
2269,7
2270,7
2271,6
2272,7
2273,6
2274,8
2275,7
2276,7
2277,5
2278,5
2279,5
2280,6
2281,7
2282,5
2283,5
2284,5
2285,6
2286,5
2287,7
2288,5
2289,7
2290,6
2291,6
2292,7
2293,5
2294,4
2295,7
2296,6
2297,5
2298,6
2299,6
2300,5
2301,6
2302,5
2303,6
2304,5
2305,5
2306,6
2307,5
2308,6
2309,8
2310,5
2311,5
2312,5
2313,4
2314,5
2315,6
2316,6
2317,5
2318,8
2319,5
2320,6
2321,6
2322,4
2323,6
2324,6
2325,5
2326,5
2327,6
2328,6
2329,7
2330,6
2331,7
2332,6
2333,5
2334,5
2335,5
2336,6
2337,5
2338,6
2339,5
2340,5
2341,5
2342,5
2343,6
2344,6
2345,6
2346,7
2347,5
2348,4
2349,3
2350,6
2351,6
2352,6
2353,6
2354,5
2355,4
2356,4
2357,6
2358,8
2359,6
2360,8
2361,5
2362,4
2363,4
2364,4
2365,8
2366,8
2367,6
2368,7
2369,6
2370,5
2371,5
2372,5
2373,6
2374,6
2375,6
2376,4
2377,4
2378,6
2379,6
2380,5
2381,5
2382,6
2383,6
2384,5
2385,4
2386,6
2387,6
2388,4
2389,4
2390,4
2391,5
2392,6
2393,5
2394,5
2395,5
2396,7
2397,5
2398,5
2399,6
2400,5
2401,6
2402,6
2403,6
2404,6
2405,6
2406,5
2407,5
2408,5
2409,6
2410,6
2411,4
2412,5
2413,6
2414,5
2415,6
2416,5
2417,6
2418,5
2419,5
2420,5
2421,5
2422,5
2423,6
2424,6
2425,6
2426,5
2427,5
2428,7
2429,6
2430,5
2431,6
2432,6
2433,6
2434,6
2435,5
2436,5
2437,5
2438,5
2439,7
2440,5
2441,5
2442,5
2443,6
2444,6
2445,5
2446,5
2447,7
2448,6
2449,6
2450,7
2451,5
2452,6
2453,7
2454,6
2455,6
2456,5
2457,6
2458,6
2459,6
2460,5
2461,6
2462,5
2463,6
2464,6
2465,6
2466,6
2467,5
2468,6
2469,4
2470,4
2471,5
2472,5
2473,5
2474,5
2475,6
2476,5
2477,5
2478,4
2479,4
2480,6
2481,6
2482,6
2483,7
2484,6
2485,5
2486,6
2487,6
2488,6
2489,5
2490,7
2491,7
2492,6
2493,6
2494,7
2495,5
2496,5
2497,7
2498,8
2499,5
2500,5
2501,8
2502,7
2503,6
2504,6
2505,5
2506,6
2507,4
2508,4
2509,5
2510,7
2511,6
2512,6
2513,6
2514,6
2515,5
2516,5
2517,6
2518,5
2519,6
2520,6
2521,6
2522,5
2523,5
2524,6
2525,5
2526,5
2527,6
2528,5
2529,7
2530,7
2531,7
2532,5
2533,7
2534,7
2535,5
2536,6
2537,5
2538,6
2539,5
2540,6
2541,5
2542,7
2543,5
2544,6
2545,6
2546,5
2547,6
2548,5
2549,5
2550,5
2551,6
2552,5
2553,5
2554,7
2555,6
2556,5
2557,7
2558,7
2559,7
2560,7
2561,7
2562,7
2563,6
2564,7
2565,4
2566,6
2567,7
2568,5
2569,5
2570,7
2571,5
2572,5
2573,6
2574,5
2575,6
2576,7
2577,5
2578,6
2579,7
2580,7
2581,6
2582,6
2583,6
2584,6
2585,6
2586,5
2587,5
2588,7
2589,5
2590,5
2591,7
2592,7
2593,7
2594,7
2595,6
2596,5
2597,5
2598,7
2599,7
2600,5
2601,5
2602,7
2603,7
2604,6
2605,5
2606,6
2607,7
2608,5
2609,5
2610,5
2611,6
2612,5
2613,5
2614,6
2615,6
2616,6
2617,5
2618,5
2619,5
2620,6
2621,7
2622,7
2623,5
2624,6
2625,6
2626,5
2627,5
2628,7
2629,5
2630,5
2631,5
2632,4
2633,7
2634,7
2635,6
2636,6
2637,6
2638,6
2639,8
2640,7
2641,5
2642,7
2643,7
2644,6
2645,5
2646,7
2647,7
2648,7
2649,6
2650,7
2651,7
2652,6
2653,6
2654,5
2655,6
2656,6
2657,6
2658,6
2659,5
2660,6
2661,7
2662,6
2663,5
2664,6
2665,6
2666,6
2667,6
2668,6
2669,6
2670,6
2671,6
2672,6
2673,5
2674,6
2675,6
2676,7
2677,5
2678,5
2679,5
2680,6
2681,6
2682,6
2683,5
2684,6
2685,5
2686,5
2687,5
2688,5
2689,6
2690,6
2691,6
2692,5
2693,6
2694,6
2695,6
2696,7
2697,5
2698,7
2699,6
2700,6
2701,5
2702,6
2703,6
2704,6
2705,7
2706,5
2707,5
2708,5
2709,7
2710,6
2711,6
2712,6
2713,7
2714,5
2715,7
2716,6
2717,5
2718,6
2719,6
2720,6
2721,7
2722,6
2723,6
2724,8
2725,6
2726,8
2727,6
2728,6
2729,8
2730,5
2731,5
2732,6
2733,5
2734,6
2735,6
2736,6
2737,5
2738,5
2739,6
2740,6
2741,6
2742,6
2743,6
2744,6
2745,5
2746,7
2747,6
2748,7
2749,7
2750,8
2751,8
2752,8
2753,6
2754,7
2755,5
2756,5
2757,6
2758,6
2759,6
2760,6
2761,5
2762,6
2763,5
2764,5
2765,5
2766,6
2767,5
2768,5
2769,7
2770,5
2771,8
2772,7
2773,5
2774,7
2775,7
2776,5
2777,5
2778,6
2779,8
2780,8
2781,6
2782,5
2783,5
2784,6
2785,7
2786,7
2787,5
2788,6
2789,7
2790,7
2791,5
2792,5
2793,7
2794,4
2795,6
2796,5
2797,5
2798,5
2799,6
2800,6
2801,6
2802,6
2803,7
2804,7
2805,5
2806,5
2807,5
2808,6
2809,7
2810,6
2811,6
2812,6
2813,6
2814,7
2815,7
2816,6
2817,6
2818,6
2819,6
2820,5
2821,7
2822,7
2823,5
2824,5
2825,5
2826,5
2827,5
2828,5
2829,6
2830,6
2831,7
2832,7
2833,8
2834,7
2835,6
2836,6
2837,6
2838,6
2839,6
2840,6
2841,6
2842,7
2843,7
2844,5
2845,6
2846,7
2847,6
2848,7
2849,8
2850,7
2851,6
2852,5
2853,5
2854,6
2855,6
2856,5
2857,7
2858,5
2859,7
2860,7
2861,6
2862,5
2863,5
2864,4
2865,6
2866,8
2867,6
2868,5
2869,7
2870,5
2871,5
2872,5
2873,5
2874,5
2875,6
2876,7
2877,6
2878,7
2879,5
2880,5
2881,6
2882,6
2883,6
2884,5
2885,5
2886,7
2887,5
2888,6
2889,6
2890,6
2891,7
2892,6
2893,5
2894,4
2895,6
2896,8
2897,6
2898,6
2899,5
2900,8
2901,7
2902,7
2903,6
2904,8
2905,8
2906,6
2907,6
2908,5
2909,4
2910,5
2911,5
2912,8
2913,8
2914,6
2915,5
2916,5
2917,8
2918,6
2919,8
2920,6
2921,6
2922,6
2923,6
2924,5
2925,5
2926,5
2927,5
2928,7
2929,5
2930,6
2931,6
2932,5
2933,7
2934,7
2935,6
2936,5
2937,7
2938,5
2939,8
2940,6
2941,6
2942,5
2943,6
2944,5
2945,5
2946,6
2947,6
2948,6
2949,6
2950,6
2951,6
2952,6
2953,7
2954,7
2955,7
2956,6
2957,6
2958,6
2959,7
2960,7
2961,7
2962,7
2963,6
2964,7
2965,7
2966,7
2967,7
2968,7
2969,6
2970,8
2971,6
2972,7
2973,7
2974,7
2975,7
2976,7
2977,7
2978,6
2979,6
2980,6
2981,7
2982,7
2983,6
2984,5
2985,6
2986,6
2987,6
2988,6
2989,6
2990,6
2991,6
2992,8
2993,6
2994,6
2995,4
2996,5
2997,6
